brand,name,price_old,price_new,seller,rating,number_rating,frete_gratis,full,entrega_rapida,entrega_mesmo_dia,desconto,percentual_desconto
UNDER ARMOUR,Tênis Masculino Tribase Reps Under Armour,449.0,337.0,Por Mercado Livre ,4.8,206.0,False,True,True,False,112.0,24.9
OLYMPIKUS,Tênis Fitness Day Feminino Olympikus,229.0,149.0,Por Mercado Livre ,4.7,5332.0,True,True,False,False,80.0,34.9
OLYMPIKUS,Mala Masculina E Feminina Gym Bag 48 L Olympikus Super Nova Cor Marinho Desenho Do Tecido Liso,179.0,152.0,Por Mercado Livre ,4.8,4.0,True,True,False,False,27.0,15.1
ADIDAS,"Mochila adidas Classic Bars 27,5l Passeio Cor Clear Pink / White Desenho Do Tecido Liso",179.0,150.0,Por adidas ,4.8,78.0,True,True,False,False,29.0,16.2
MASH,Kit Com 10 Cuecas Infantis Para Meninos Boxer Algodão Mash,208.0,129.0,Por Mash ,4.7,736.0,True,True,False,False,79.0,38.0
WOLFF,6 Taças De Vinho Wolff Columba Optic De Cristal 850ml,278.0,189.0,Por Mercado Livre ,5.0,4.0,True,True,False,False,89.0,32.0
GENÉRICA,Vestido Longo Plus Size C Fenda E Estampa Exclusiva 44ao56,69.0,55.0,vendedor não identificado,4.6,87.0,False,False,True,False,14.0,20.3
UNDER ARMOUR,Mala De Treino Unissex Under Armour Undeniable 5.0 Duffle Cor Preto,519.0,367.0,Por Mercado Livre ,4.7,103.0,True,True,False,False,152.0,29.3
PANELUX,"Panela De Pressão 4,5 Litros Em Alumínio Antiaderente Premium Fechamento Externo Panelux - Verde",189.0,149.0,Por Mercado Livre ,4.6,39.0,False,True,True,False,40.0,21.2
LYOR,Frigideira De Indução Em Alumínio Com Revestimento Cerâmico Granilite Cinza 20cm - Lyor,83.0,62.0,Por Mercado Livre ,,,False,True,True,False,21.0,25.3
ADIDAS,Tênis Casual Masculino Run 72 Com Forro Têxtil adidas,399.0,386.0,Por adidas ,,,False,True,True,False,13.0,3.3
ADIDAS,Tênis Casual Masculino Run 72 Com Forro Têxtil adidas,399.0,386.0,Por adidas ,,,False,True,True,False,13.0,3.3
OLYMPIKUS,Olympikus Mood Masculino Adultos Branco,199.0,140.0,Por Mercado Livre ,4.7,5939.0,True,True,False,False,59.0,29.6
RAG,Kit 3 Calça Feminina Wide Leg Moletinho Cintura Alta Lisa,179.0,137.0,vendedor não identificado,4.2,22.0,False,False,True,False,42.0,23.5
JANSPORT,Mochila Big Student Foraging Finds 34 Litros Jansport,469.0,408.0,Por Mercado Livre ,5.0,1.0,True,True,False,False,61.0,13.0
ADIDAS,Chuteira Masculina Society F50 Club Messi adidas,449.0,338.0,Por adidas ,,,False,True,True,False,111.0,24.7
THE NORTH FACE,Blusa Fleece Masculino Tka 100 Glacier Full The North Face,699.0,426.0,Por The North Face ,,,False,True,True,False,273.0,39.1
CROCS,Crocs - Crocband - X11016-410 - Revendedroa Autorizada,349.0,331.0,Por Crocs ,4.8,1059.0,True,True,False,False,18.0,5.2
OLYMPIKUS,Tênis Masculino Modulo Olympikus,249.0,135.0,Por Mercado Livre ,5.0,38.0,False,True,True,False,114.0,45.8
ATUAL METAIS,Kit Para Banheiro 10 Peças Quadrado Preto Com Ducha,399.0,307.0,Por Atual Metais ,4.2,26.0,True,True,False,False,92.0,23.1
SLIM FITNESS FASHION,Camisa Térmica Masculina Segunda Pele Praia Surf Proteção Uv,46.0,32.0,Por Chapelaria Vintage ,4.4,2268.0,False,True,False,False,14.0,30.4
ADIDAS,Tênis Sportswear Grand Court Base 2.0 Simp Feminino adidas,349.0,254.0,Por adidas ,4.8,983.0,False,True,True,False,95.0,27.2
ADIDAS,Tênis Casual Feminino Advantage Base 2.0 Forro Têxtil adidas,299.0,145.0,Por adidas ,4.6,112.0,False,True,True,False,154.0,51.5
ADIDAS,Chuteira Campo Infantil Deportivo Iii Flexible Ground adidas,249.0,144.0,Por adidas ,4.1,9.0,False,True,True,False,105.0,42.2
THE BLACK TOOLS,Furadeira Parafusadeira De Impacto 21v Com 2 Baterias Velocidade Ajustável 3/8 10mm Maleta E Acessorios Profissional The Black Tools,460.0,269.0,Por Ismafer Ferramentas ,4.7,297.0,False,True,True,False,191.0,41.5
ZORBA,Kit Com 10 Cuecas Boxer Seamless Masculina Zorba,355.0,209.0,Por Zorba ,4.7,969.0,False,True,True,False,146.0,41.1
LYOR,Panela Antiaderente Cerâmica Indução Preto E Vermelho 18cm,139.0,89.0,Por Mercado Livre ,5.0,8.0,True,True,False,False,50.0,36.0
CROCS,Crocs Sandália Classic Clog Adulto Unissex 10001-410,279.0,265.0,Por Crocs ,4.8,847.0,True,True,False,False,14.0,5.0
PUMA,Tênis Puma Feminino Carina Street Bdp Branco/bege/roxo 34 ,499.0,308.0,Por Puma ,4.6,665.0,False,True,True,False,191.0,38.3
ADIDAS,Chuteiras De Futebol adidas Futebol Predator League Cor Vermelho E Lucid Red E Cloud White E Core Black Adequada Para Grama Natural - Sem Gênero,599.0,341.0,Por adidas ,,,False,True,True,False,258.0,43.1
PORTO BRASIL CERÂMICA,"Conjunto C/ 6 Pratos Raso Linhas Breeze Ø27,5cm",305.0,159.0,Por Mercado Livre ,5.0,8.0,True,True,False,False,146.0,47.9
WOLFF,Jarra Wolff Italy De Vidro Azul 800ml,234.0,139.0,Por Mercado Livre ,4.8,13.0,True,True,False,False,95.0,40.6
ADIDAS,Tênis Vl Court Base adidas,383.0,371.0,Por adidas ,,,False,True,True,False,12.0,3.1
GENÉRICA,Tela Quadrada Para Estruturar E Bordar - 5 Und - Furo 5mm,149.0,125.0,vendedor não identificado,4.9,10.0,True,True,False,False,24.0,16.1
TOMMY HILFIGER,Camiseta Tommy Hilfiger Essential Cotton Tee Azul Royal,269.0,134.0,Por Secret Outlet ,4.5,116.0,False,False,False,False,135.0,50.2
ZORBA,Kit Com 10 Cuecas Boxer Com Elástico Masculina Zorba Oferta,355.0,199.0,Por Zorba ,4.3,930.0,True,True,False,False,156.0,43.9
CALVIN KLEIN,Kit 3 Cuecas Boxer Masculina Trunk Cotton Rib Calvin Klein,289.0,173.0,Por Mercado Livre ,4.4,17.0,False,True,True,False,116.0,40.1
PUMA,Tênis Feminino Carina L Bdp Puma ,399.0,257.0,Por Puma ,4.8,101.0,True,True,False,False,142.0,35.6
CROCS,Sandália Crocs Baya Electric Pink,279.0,217.0,Por Crocs ,4.9,194.0,True,True,False,False,62.0,22.2
ALIANZA,Short Jeans Feminino Com Cinto Fivela Forrada Barra Dobrada,88.0,84.0,vendedor não identificado,4.4,83.0,False,False,True,False,4.0,4.5
HERING,Kit Com 2 Camisetas Femininas Básicas Hering,109.0,79.0,Por Hering ,4.4,722.0,True,True,False,False,30.0,27.5
ADIDAS,Tênis Infantil Disney Minnie Mouse Courtblock adidas,299.0,289.0,Por adidas ,5.0,1.0,False,True,True,False,10.0,3.3
ZENITE,Micro Retifica Sem Fio Bateria C/ Maleta 62 Acessório Zenite,209.0,133.0,Por Bronzautto ,4.2,34.0,False,False,False,False,76.0,36.4
OLYMPIKUS,Tênis Masculino Modulo Olympikus,249.0,135.0,Por Mercado Livre ,5.0,38.0,True,True,False,False,114.0,45.8
